"Sensitivity of Report w.r.t. Material Indicator","Sensitivity of Report w.r.t. Position: Magnitude (/m)","Sensitivity of Report w.r.t. Position[0] (/m)","Sensitivity of Report w.r.t. Position[1] (/m)","Sensitivity of Report w.r.t. Position[2] (/m)","Report: Pressure Drop 1 (Pa)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Material Indicator","Pressure (Pa)","Wall Shear Stress: Magnitude (Pa)","Wall Shear Stress[i] (Pa)","Wall Shear Stress[j] (Pa)","Wall Shear Stress[k] (Pa)","Topology Level Set","Position: Magnitude (m)","Position[X] (m)","Position[Y] (m)","Position[Z] (m)","X (m)","Y (m)","Z (m)"
0.0015000381972640753,8.6278807822823292e-08,-3.878588125441596e-08,-7.7069371962187536e-08,0,0.43906973541129179,0.000372207341902637,-0.00033432227792218328,-0.00016360598965547979,0,0,4.5439168522387359,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.025465663169972539,-0.017500000020512566,0.018499999999150162,0,-0.017500000020512566,0.018499999999150162,0
0.0015000334242358804,1.6990085615851315e-07,-3.8908240210194605e-08,-1.6538576047272501e-07,0,0.43906973541129179,0.00034447269607595183,-0.00030076754046604037,-0.00016792952374089509,0,0,4.5680536746950358,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.025544079550637883,-0.016500000003809967,0.019499999999066348,0,-0.016500000003809967,0.019499999999066348,0
0.0015000643907114863,1.7548202231081319e-07,2.3249140220630063e-08,1.7393509603669472e-07,0,0.43906973541129179,0.00048648690442230599,-0.00044005730887874961,-0.00020741039770655334,0,0,4.43917279749156,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026504716570336918,-0.021500000012168889,0.015499999998407427,0,-0.021500000012168889,0.015499999998407427,0
0.0015000560088083148,5.0684751563926125e-08,1.3330641681651482e-08,4.8900286639776743e-08,0,0.43906973541129179,0.00045329652439777992,-0.00041063816752284765,-0.00019197404617443681,0,0,4.4703918521089072,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026315394728998003,-0.020499999976314139,0.016500000021639278,0,-0.020499999976314139,0.016500000021639278,0
0.0015000489074736834,1.9725158534544739e-08,1.6116922212806777e-08,1.137218965719701e-08,0,0.43906973541129179,0.00042225257372228769,-0.00038075621705502272,-0.00018254297901876271,0,0,4.4995048096061989,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026201145022063849,-0.019500000021583402,0.017499999989299103,0,-0.019500000021583402,0.017499999989299103,0
0.0015000429702922702,4.641454122557014e-08,-1.4021769124739869e-08,-4.4245899559085039e-08,0,0.43906973541129179,0.00039367972326560899,-0.00035071221645921469,-0.0001788425724953413,0,0,4.5267908757971966,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026162950917407363,-0.01849999999074731,0.018500000028351789,0,-0.01849999999074731,0.018500000028351789,0
0.0015000381972640753,1.3242986178316103e-07,-2.5385197599037991e-08,-1.2997407447166119e-07,0,0.43906973541129179,0.00036783485645977174,-0.00032041186932474375,-0.00018066188204102218,0,0,4.5525236560275664,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026201145026127786,-0.017500000020458525,0.019499999999080319,0,-0.017500000020458525,0.019499999999080319,0
0.001500034355558455,2.6420695269559644e-07,4.9408206319941517e-10,-2.6420649071438037e-07,0,0.43906973541129179,0.00034476036040268079,-0.00028921815101057291,-0.00018765011918731034,0,0,4.5769451152490168,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026315394733149491,-0.016500000003851385,0.020499999995960395,0,-0.016500000003851385,0.020499999995960395,0
0.0015000691637396812,4.5307320575853309e-07,4.1561572999532605e-07,1.8038540616348731e-07,0,0.43906973541129179,0.00050050142706087742,-0.00044446575338952243,-0.00023011273879092187,0,0,4.4170625240504844,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.02732215218355034,-0.022499999979700071,0.015500000027567145,0,-0.022499999979700071,0.015500000027567145,0
0.0015000606654211879,1.139732887029263e-07,4.2574422532811666e-08,1.057228881735559e-07,0,0.43906973541129179,0.00046916221959576103,-0.00041826808592304587,-0.0002125205792253837,0,0,4.4496701347309653,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027101660465687811,-0.02149999998321174,0.016500000021797599,0,-0.02149999998321174,0.016500000021797599,0
